CGPA,Semester,Skills_Count,Projects_Count,Internship,Coding_Profile,Aptitude_Score,Communication_Score,Resume_Score,Academic_Score,Skill_Score,Project_Score,Internship_Score,Coding_Score,Placement_Readiness
8.0,8,1,5,0,1,78.6,75.9,42.0,80.0,10,100,0,10,66.83
7.36,3,3,3,0,4,65.8,84.0,50.7,73.6,30,60,0,40,44.98
8.15,4,6,3,1,8,59.5,88.7,80.2,81.5,60,60,100,80,71.24
9.02,5,7,5,0,5,52.8,84.9,86.6,90.19999999999999,70,100,0,50,68.22
7.27,2,10,3,1,8,49.3,52.4,82.4,72.7,100,60,100,80,75.87
7.27,3,4,0,1,7,75.7,100.0,82.8,72.7,40,0,100,70,69.27
9.08,4,8,3,1,8,39.7,42.1,86.8,90.8,80,60,100,80,82.78
8.27,4,8,1,0,6,84.1,52.8,62.9,82.69999999999999,80,20,0,60,66.15
7.03,2,4,5,0,0,47.2,65.6,50.6,70.30000000000001,40,100,0,0,47.5
8.04,2,4,1,0,7,58.1,56.4,75.8,80.39999999999999,40,20,0,70,60.6
7.04,4,5,4,0,9,73.0,74.7,62.4,70.39999999999999,50,80,0,90,70.23
7.03,4,3,1,0,8,45.9,98.1,69.7,70.30000000000001,30,20,0,80,44.93
7.74,5,6,2,1,10,74.6,100.0,71.6,77.4,60,40,100,100,72.66
5.59,2,9,1,1,0,52.3,59.0,70.0,55.89999999999999,90,20,100,0,61.12
5.78,6,2,2,1,9,48.0,77.0,83.6,57.800000000000004,20,40,100,90,61.7
6.94,2,3,1,1,8,63.2,34.7,53.7,69.4,30,20,100,80,47.22
6.49,5,10,2,1,5,37.5,75.4,85.8,64.9,100,40,100,50,55.85
7.81,2,1,2,1,2,100.0,89.2,70.1,78.1,10,40,100,20,72.77
6.59,1,6,4,0,7,69.8,88.9,59.2,65.9,60,80,0,70,51.46
6.09,7,3,3,1,0,80.8,67.0,80.7,60.9,30,60,100,0,75.15
8.97,3,1,3,0,9,63.1,51.6,48.0,89.7,10,60,0,90,55.15
7.27,1,7,3,0,6,73.7,82.0,54.4,72.7,70,60,0,60,52.64
7.57,7,6,4,0,6,77.8,38.8,70.1,75.7,60,80,0,60,62.37
6.08,6,10,2,0,7,45.4,34.3,63.7,60.8,100,40,0,70,48.79
6.96,2,10,2,0,7,75.0,24.1,80.4,69.6,100,40,0,70,62.07
7.61,5,7,1,1,0,55.8,73.1,57.9,76.1,70,20,100,0,47.73
6.35,4,7,5,0,6,34.2,93.8,85.2,63.5,70,100,0,60,65.4
7.88,2,2,3,1,3,62.2,49.2,94.0,78.8,20,60,100,30,54.34
6.9,4,4,5,0,7,56.6,70.8,46.2,69.0,40,100,0,70,62.36
7.21,8,5,4,1,8,94.8,53.9,83.0,72.1,50,80,100,80,76.26
6.9,8,9,2,0,6,89.5,77.4,65.1,69.0,90,40,0,60,59.54
